,State,City,PM2.5,PM10,O3,SO2,CO,Wind Speed,Humidity,Temp,AQI,AQI Type
313,Punjab,Kot Ise Khan,58.0,94.0,,5.0,242.0,4.0,70.0,30.0,96.0,Satisfactory
160,India,Kailashahar,24.0,33.0,1.0,10.0,115.0,5.0,90.0,27.0,40.0,Good
276,Nagaland,Kohima,10.0,38.0,10.0,36.0,160.0,2.0,94.0,20.0,45.0,Good
191,Bihar,Birpur,46.0,70.0,22.0,12.0,579.0,23.0,74.0,29.0,76.0,Satisfactory
293,Cuddalore,Cuddalore,19.0,57.0,11.0,8.0,780.0,17.0,61.0,29.0,57.0,Satisfactory
343,Tamil Nadu,Thuraiyur,26.0,45.0,22.0,7.0,616.0,22.0,65.0,29.0,45.0,Good
257,Maharashtra,Aurangabad,9.0,24.0,34.0,7.0,740.0,34.0,96.0,22.0,37.0,Good
308,Punjab,Jandiala Manjki,14.0,37.0,24.0,2.0,200.0,8.0,89.0,28.0,37.0,Good
149,Jharkhand,Khunti,42.0,60.0,,,,22.0,94.0,25.0,70.0,Satisfactory
130,Jind,Jind,49.0,66.0,58.0,4.0,1080.0,20.0,58.0,32.0,82.0,Satisfactory
151,Jharkhand,Bundu,42.0,60.0,,,,18.0,94.0,27.0,70.0,Satisfactory
359,Tripura,Khowai,33.0,46.0,2.0,17.0,124.0,5.0,84.0,29.0,54.0,Satisfactory
99,Uttar Pradesh,Baghpat,41.0,75.0,15.0,9.0,1040.0,18.0,62.0,30.0,90.0,Satisfactory
372,Uttar Pradesh,Satrikh,23.0,43.0,20.0,10.0,60.0,23.0,64.0,30.0,43.0,Good
87,Dadra and Nagar Haveli,Amli,24.0,26.0,1.0,27.0,1500.0,8.0,95.0,25.0,75.0,Satisfactory
330,West Bengal,Dakshin Odlabari,13.0,35.0,24.0,5.0,320.0,4.0,76.0,29.0,35.0,Good
214,Madhya Pradesh,Narsinghpur,35.0,52.0,19.0,24.0,717.0,14.0,80.0,28.0,58.0,Satisfactory
121,Gujarat,Botad,29.0,49.0,38.0,13.0,658.0,18.0,90.0,27.0,49.0,Good
402,West Bengal,Bagnan,21.0,41.0,27.0,9.0,965.0,12.0,85.0,28.0,49.0,Good
20,Assam,Seodhai Kopowhuwa,21.0,32.0,6.0,12.0,274.0,6.0,89.0,28.0,35.0,Good
188,Kerala,Tirur,27.0,45.0,,,,21.0,87.0,24.0,45.0,Good
71,Chhattisgarh,Bhatapara,39.0,56.0,8.0,6.0,389.0,12.0,81.0,28.0,65.0,Satisfactory
106,South Goa,Cuncolim,38.0,61.0,,,,28.0,87.0,26.0,63.0,Satisfactory
270,Nagaland,Mokokchung,17.0,27.0,6.0,13.0,226.0,3.0,98.0,19.0,28.0,Good
348,Telangana,Vemulawada,40.0,54.0,19.0,10.0,527.0,24.0,91.0,24.0,66.0,Satisfactory
102,South Goa,Margao,38.0,61.0,,,,25.0,88.0,25.0,63.0,Satisfactory
